ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000054690,6201,3884,6780,8888,5122,5973,4766,4054,2340,2597,3349,860,2191
ENSG00000054793,2637,2345,2654,2556,2417,2525,2483,2853,2020,3301,4074,2738,2710
ENSG00000054796,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000054803,2,6,2,0,5,0,7,0,0,0,23,7,2
ENSG00000054938,132,808,268,423,219,71,195,790,420,63,351,75,117
ENSG00000054965,1760,2107,2055,1235,1623,1425,1784,1996,1504,1576,2834,1900,2163
ENSG00000054967,101,199,41,96,61,81,79,95,178,22,72,34,44
ENSG00000054983,314,612,1264,669,1043,544,1029,566,380,693,794,690,669
ENSG00000055044,2261,1668,1747,2412,2347,2115,2431,1990,2617,1728,1741,2121,2433
ENSG00000055070,3347,5036,4607,3883,3328,3291,3807,4189,3338,3054,5405,3252,3321
ENSG00000055118,277,851,1054,380,861,595,647,1402,841,1177,2269,1245,1133
ENSG00000055130,1617,2001,1907,1527,1599,1884,1607,1900,2147,1734,2041,1822,2075
ENSG00000055147,359,323,563,354,433,337,576,314,318,260,309,388,367
ENSG00000055163,2225,2610,799,2469,963,1544,1067,1762,3215,1050,1793,822,919
ENSG00000055208,2289,1791,3336,1582,2189,2529,2315,2394,2047,2494,3758,2460,2671
ENSG00000055211,898,692,1021,795,1025,792,946,759,666,821,931,1110,1285
ENSG00000055332,2493,2014,1925,1368,2244,2114,2568,1553,1628,1974,2232,2000,1980
ENSG00000055483,930,1957,1506,1794,1490,1191,1698,2435,1601,2111,2133,2099,2285
ENSG00000055609,2375,1460,2118,1368,1619,1580,2350,1512,1735,1885,2253,2021,1955
ENSG00000055732,45,128,128,58,77,227,52,125,359,105,117,198,90
ENSG00000055813,20,21,102,6,102,10,63,46,28,76,179,107,170
ENSG00000055917,3111,2394,2928,1804,3241,2687,2837,2328,2183,2767,3258,3233,3073
ENSG00000055950,1690,1851,2340,1425,1881,1355,2448,1741,1195,1804,1995,1849,1329
ENSG00000055955,266,386,266,306,194,337,305,668,434,218,411,326,439
ENSG00000055957,0,11,0,0,0,6,2,0,16,0,12,0,0
ENSG00000056050,170,221,256,209,555,153,414,235,207,186,200,432,505
ENSG00000056097,1477,1289,2232,1268,1783,1451,1805,1394,1242,1559,1793,1359,1533
ENSG00000056277,72,76,97,61,101,118,82,102,72,124,164,114,105
ENSG00000056291,1,0,2,0,8,0,3,5,13,0,21,0,0
ENSG00000056487,446,279,276,420,384,490,384,213,266,103,313,109,158
ENSG00000056558,385,1578,451,643,554,758,724,1293,1825,491,1270,761,1050
ENSG00000056586,1062,600,753,723,957,813,776,698,691,467,668,688,716
ENSG00000056736,728,802,421,862,565,363,446,346,330,272,329,153,319
ENSG00000056972,378,994,1697,873,1352,738,1290,1571,772,1383,1588,1464,1801
ENSG00000056998,223,282,308,231,305,170,175,368,166,161,247,120,402
ENSG00000057019,564,338,847,525,644,593,712,835,385,652,753,1005,1187
