ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000066422,293,379,528,299,478,340,470,286,341,409,402,503,421
ENSG00000066427,1049,1213,1145,1277,1322,1524,1290,1793,1556,1333,1679,2069,1918
ENSG00000066455,2141,1359,2150,1999,1786,1430,1941,1016,1094,1112,1549,1018,950
ENSG00000066468,102,1108,1924,178,1321,668,1796,2477,1180,2408,3203,4497,3071
ENSG00000066557,169,222,264,176,274,79,227,140,147,178,194,240,199
ENSG00000066583,430,879,1163,926,832,437,1088,520,635,752,1021,875,921
ENSG00000066629,567,490,683,518,573,495,507,534,434,307,797,474,478
ENSG00000066651,151,235,241,115,242,105,229,260,237,201,275,282,405
ENSG00000066654,1612,1101,2521,1437,2856,1622,2805,1375,1212,1403,1907,1955,1932
ENSG00000066697,476,296,356,406,384,396,341,361,314,253,456,336,361
ENSG00000066735,12,65,33,58,23,13,65,22,37,52,61,110,109
ENSG00000066739,1026,878,1091,854,1078,1124,885,705,802,894,1180,942,1086
ENSG00000066777,987,1254,1497,718,1017,645,1222,891,1157,1083,1246,1133,1141
ENSG00000066813,6,3,0,0,1,0,4,1,0,0,15,0,3
ENSG00000066827,217,404,385,299,312,187,398,382,334,259,471,236,270
ENSG00000066855,362,341,494,321,360,195,487,267,221,281,312,360,250
ENSG00000066923,357,733,177,258,245,390,297,286,597,220,474,329,294
ENSG00000066926,1431,2828,1427,773,943,578,1374,487,723,435,764,451,596
ENSG00000066933,1748,1516,1577,1108,1949,1633,1534,1900,1438,1993,2369,2439,2115
ENSG00000067048,298,835,1100,824,1159,591,1069,898,1151,1204,1541,1623,1554
ENSG00000067057,1845,3148,2027,1667,1639,1809,3196,3631,3026,2184,3590,3152,2422
ENSG00000067064,1584,1318,6926,1123,2387,828,4855,859,882,1027,939,875,1091
ENSG00000067066,1997,1970,1845,1065,1700,1745,2513,1806,2435,1442,2237,2733,2625
ENSG00000067082,2828,2171,978,3844,1710,3344,1872,2948,4241,2009,2621,6955,3298
ENSG00000067113,8226,9246,29464,15459,18380,5293,12611,7170,3929,4506,7143,2174,3646
ENSG00000067141,5285,5217,6864,2310,5558,2530,6058,3835,2684,3231,4941,3336,4607
ENSG00000067167,2278,3138,4658,1816,3243,1682,3817,2031,1928,2350,2897,2266,2959
